DOI,Authors,Publication Year,Article Title,Abstract,Source Title,Publisher,Author Keywords,Keywords Plus,Addresses,Entities,Entities_TGEN,family,family2,bioactives,bioactives_grouped,Bacteria,gram,FUNG,Entities_Grouped,family_Grouped,Genus,Country
10.1016/j.indcrop.2019.111872,"Ma, Y; Li, X; Hou, LX; Wei, AZ",2019,"Extraction solvent affects the antioxidant, antimicrobial, cholinesterase and HepG2 human hepatocellular carcinoma cell inhibitory activities of Zanthoxylum bungeanum pericarps and the major chemical components","Chinese prickly ash (Zanthoxylum bungeanum Maxim.) is widely grown in China where it is of high economic importance. Its pericarps are rich in bioactive compounds and are in common use both as food additives, for their distinctive flavor, and as traditional medicines, to treat various diseases. The method of extraction of these compounds is important. This study evaluates the effects of the solvent on the yields of the major components and their biological activities - antioxidant, antimicrobial, cholinesterase and HepG2 human hepatocellular carcinoma cell (HepG2) inhibitory. Seven common solvents were used: water, methanol, acetic acid, chloroform, ethanol, ethyl acetate and benzene. Acetic acid produced the highest extract yield (24.69%), while benzene produced the lowest (7.54%). The ethanol extract had the highest phenolic content (81.19 +/- 4.81 g gallic acid equivalents (GAE) /kg extract), the methanol extract had the highest flavonoid content (110.69 +/- 8.49 g rutin equivalents (RE)/kg extract) and the benzene extract had the lowest (22.42 +/- 2.1 g RE/kg extract). Procyanidin was the most abundant component in the extracts (125.35-350.98 mg/100 g pericarps). The water extract showed strong antioxidant activity for OH scavenging activity (0.45 mg/mL of half-maximal inhibitory concentration (IC50)), reducing power (RP) (RP0.6 mg/mL = 3.93) and ferric reducing ability of plasma (FRAP) (FRAP(0)(.6) (mg/mL) = 0.48). Methanol and acetic acid were the most effective extracts for inhibition of Staphylococcus aureus, while chloroform was most effective for antimicrobial activity against Candida albicans and HepG2 growth inhibition rate (0.39 mg/mL of IC50). The inhibitory activities of the water and methanol extracts on butyrylcholinesterase (BChE) were stronger than on acetylcholinesterase (AChE) with selectivity indices of 0.74 and 0.28, respectively. Methanol (1.02 mg/mL of IC50 for AChE and 0.28 mg/mL of IC50 for BChE) was most effective for cholinesterase inhibitory activity. The total phenolic content, total flavonoid content, total alkaloid content and warfarin content were significantly correlated with the first two principal component analysis axes, indicating some relationship between these components and their biological activities. Extracts of Z. bungeanum pericarps are a good source of compounds having significant biological activities for the pharmaceutical industry.",INDUSTRIAL CROPS AND PRODUCTS,ELSEVIER,Zanthoxylum bungeanum Maxim.; Chemical composition; Antimicrobial; Cholinesterase inhibitor; HepG2 inhibitor,ESSENTIAL OIL; ANTIBACTERIAL ACTIVITIES; PHENOLIC COMPOSITION; APOPTOSIS; ALKYLAMIDES; SCHINIFOLIUM; CONSTITUENTS; ALKALOIDS; SELECTION; CAPACITY,"[Ma, Yao; Li, Xuan; Hou, Li-Xiu; Wei, An-Zhi] Northwest A&F Univ, 3 Taicheng Rd, Xianyang, Peoples R China",Zanthoxylum bungeanum pericarps,Zanthoxylum bungeanum,,Rutaceae,"phenolics, noise, flavonoids, alkaloids","phenolics, noise, flavonoids, alkaloids",Staphylococcus aureus,positive,Candida albicans,Zanthoxylum bungeanum,Rutaceae,Zanthoxylum,China
10.1089/jmf.2021.0059,"de Morais, LVF; da Luz, JRD; do Nascimento, TES; Azevedo, MAD; Rocha, WPD; Araujo-Silva, G; Ururahy, MAG; Chaves, GM; Brandao-Neto, J; López, JA; Santos, ECG; Almeida, MD",2022,"Phenolic Composition, Toxicity Potential, and Antimicrobial Activity of Licania rigida Benth (Chrysobalanaceae) Leaf Extracts","This study was conducted to evaluate the phenolic composition, toxicity, and antimicrobial activity of Licania rigida Benth, an underexploited wild Licania species. L. rigida leaf fractions (ethyl alcohol and ethyl acetate) were analyzed for their phenolic compound and flavonoid total, and high-performance liquid chromatography/ultraviolet spectra chromatographic profiles. Regarding the extract biological effects, toxicity was measured by acute oral toxicity in Wistar rats, MTT [3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide] method, and apoptosis indicators with DAPI in VERO cells, whereas well-agar diffusion and broth microdilution assays were applied to evaluate the antimicrobial ability. The phytochemical analysis resulted in significant amounts of phenolic compounds and total flavonoids in the extract and fraction, with flavonol-3-O-glycosylates as the main constituent. Regarding the extract and fraction antimicrobial activity, the results showed a significant effect against gram-positive bacteria and fungi, among which Staphylococcus epidermidis and Candida krusei displayed more susceptibility. No toxicity effects were observed in animals. Concerning the cytotoxicity assay, only the highest dose tested exhibited a minimal toxic effect on the analyzed cell lines. These results are relevant considering the increase of multiresistant microorganisms to conventional treatments applied. Therefore, investigating the pharmacological properties of the genus Licania is promising in the search for new sources of antimicrobial compounds.",JOURNAL OF MEDICINAL FOOD,"MARY ANN LIEBERT, INC",antibacterial; antifungal; plant extract; polyphenols,MEDICINAL-PLANTS; POLYPHENOLS; ANTIOXIDANT; ANTIBACTERIAL,"[Fernandes de Morais, Leandro Vinicius; Galvao Ururahy, Marcela Abbott; Chaves, Guilherme Maranhao; Almeida, Maria das Gracas] Univ Fed Rio Grande do Norte, Hlth Sci Ctr, Postgrad Program Pharmaceut Sci, Natal, RN, Brazil; [Duarte da Luz, Jefferson Romaryo; da Silva Rocha, Walicyranison Plinio; Chaves, Guilherme Maranhao; Almeida, Maria das Gracas] Univ Fed Rio Grande do Norte, Hlth Sci Ctr, Postgrad Program Hlth Sci, Natal, RN, Brazil; [Duarte da Luz, Jefferson Romaryo; Silva do Nascimento, Thayse Evellyn; dos Santos Azevedo, Marcelo Arrison; Gomes Santos, Elizabeth Cristina; Almeida, Maria das Gracas] Univ Fed Rio Grande do Norte, Hlth Sci Ctr, Multidisciplinary Res Lab, DACT, Natal, RN, Brazil; [Araujo-Silva, Gabriel] Amapa State Univ UEAP, Organ Chem & Biochem Lab, Macapa, Brazil; [Brandao-Neto, Jose] Univ Fed Rio Grande do Norte, Hlth Sci Ctr, Dept Clin Med, Natal, RN, Brazil; [Lopez, Jorge A.] Univ Tiradentes, Ind Biotechnol Grad Program, Aracaju, Brazil; [Lopez, Jorge A.] Res & Technol Inst, Mol Biol Lab, Aracaju, Brazil",Licania rigida,,Chrysobalanaceae,,"phenolics, flavonoids, flavonoids, flavonoids","phenolics, flavonoids, flavonoids, flavonoids",Staphylococcus epidermidis,positive,,Licania rigida,Chrysobalanaceae,Licania,Brazil
10.3390/antiox11071313,"Sferrazzo, G; Palmeri, R; Restuccia, C; Parafati, L; Siracusa, L; Spampinato, M; Carota, G; Distefano, A; Di Rosa, M; Tomasello, B; Costantino, A; Gulisano, M; Li Volti, G; Barbagallo, I",2022,Mangifera indica L. Leaves as a Potential Food Source of Phenolic Compounds with Biological Activity,"It is well recognized that functional foods rich in antioxidants and antiinflammation agents including polyphenols, probiotics/prebiotics, and bioactive compounds have been found to have positive effects on the aging process. In particular, fruits play an important role in regular diet, promoting good health and longevity. In this study, we investigated on biological properties of extract obtained from Mangifera indica L. leaves in preclinical in vitro models. Specifically, the profile and content of bioactive compounds, the antimicrobial potential toward food spoilage and pathogenic bacterial species, and the eventually protective effect in inflammation were examined. Our findings revealed that MLE was rich in polyphenols, showing a content exclusively in the subclass of benzophenone/xanthone metabolites, and these phytochemical compounds demonstrated the highest antioxidant capacity and greatest in vitro antibacterial activity toward different bacterial species such as Bacillus cereus, B. subtilis, Pseudomonas fluorescens, Staphylococcus aureus, and St. haemolyticus. Furthermore, our data showed an in vitro anti-inflammatory, antioxidant, and antifibrotic activity.",ANTIOXIDANTS,MDPI,Mangifera indica L; bioactive compound; antimicrobial; antioxidant; antifibrotic,LEAF EXTRACTS; MECHANISMS; POLYPHENOLS; IMPACT,"[Sferrazzo, Giuseppe; Tomasello, Barbara; Costantino, Angelita; Gulisano, Massimo; Barbagallo, Ignazio] Univ Catania, Dept Drug & Hlth Sci, Viale A Doria 6, I-95125 Catania, Italy; [Palmeri, Rosa; Restuccia, Cristina; Parafati, Lucia] Univ Catania, Dept Agr Food & Environm, I-95123 Catania, Italy; [Siracusa, Laura] CNR ICB CNR, Ist Chim Biomol, Via Paolo Gaifami 18, I-95126 Catania, Italy; [Spampinato, Mariarita; Carota, Giuseppe; Distefano, Alfio; Di Rosa, Michelino; Li Volti, Giovanni] Univ Catania, Dept Biomed & Biotechnol Sci, Via S Sofia 87, I-95125 Catania, Italy; [Costantino, Angelita; Gulisano, Massimo] Interuniv Consortium Biotechnol, Area Ric, I-34149 Trieste, Italy",Mangifera indica,,Anacardiaceae,,"phenolics, noise, xanthones","phenolics, noise, xanthones","Staphylococcus aureus, Bacillus cereus","positive, positive",,Mangifera indica,Anacardiaceae,Mangifera,Italy
10.1002/ardp.202100468,"Mykhailenko, O; Bezruk, I; Ivanauskas, L; Georgiyants, V",2022,Comparative analysis of apocarotenoids and phenolic constituents of Crocus sativus stigmas from 11 countries: Ecological impact,"The chemical compositions of 15 saffron samples from 11 countries (Morocco, India, Italy, Spain, Germany, Switzerland, Iran, Lithuania, Ukraine, Australia, and Azerbaijan) were evaluated. The samples were analyzed regarding the impact of environmental factors on the composition of apocarotenoids and phenolic constituents. Quantification of saffron metabolites was carried out using high-performance liquid chromatography. It was found that the high content of chlorogenic acid (0.2 mg/g, Ukraine) and ferulic acid (0.28 mg/g, India) was controlled by the duration of solar radiation during plant development. The accumulation of caffeic acid (the higher content 4.88 mg/g, Ukraine) in stigmas depended on the average air temperature. In contrast, the total crocins content according to the correlation analysis depended on the duration of solar radiation, the solar UV index, and the soil type. Rutin was found in all samples (0.83-8.74 mg/g). The highest amount of crocins (average 382.45 mg/g) accumulated in saffron from Italy and Ukraine. Crocins, picrocrocin, safranal, and rutin can further serve as saffron quality markers. All validation parameters were satisfactory and high-performance liquid chromatography methods could be successfully applied for the composition assessment of saffron metabolites. Saffron extracts showed the highest antibacterial activity against Bacillus subtilis, Staphylococcus aureus, and Escherichia coli (MICs 62.5-125 mu g/ml).",ARCHIV DER PHARMAZIE,WILEY-V C H VERLAG GMBH,antibacterial assay; crocins; environment impact; phenolic compounds; saffron,ANTIMICROBIAL ACTIVITY; CHEMICAL-COMPOSITION; SAFFRON; L.; PICROCROCIN; IDENTIFICATION; COMPONENTS; KINETICS; SAMPLES; ORIGIN,"[Mykhailenko, Olha; Bezruk, Ivan; Georgiyants, Victoriya] Natl Univ Pharm, Dept Pharmaceut Chem, Minist Hlth Ukraine, 4 Valentinivska St, UA-61168 Kharkiv, Ukraine; [Ivanauskas, Liudas] Lithuanian Univ Hlth Sci, Dept Analyt & Toxicol Chem, Kaunas, Lithuania",Crocus sativus,,Iridaceae,,"phenolics, carotenoid","phenolics, carotenoid","Bacillus subtilis, Staphylococcus aureus, Escherichia coli","positive, positive, negative",,Crocus sativus,Iridaceae,Crocus,Ukraine
,"Dhiman, S; Dahiya, DP; Sharma, S",2024,"Phytochemical analysis, Antioxidant and Antimicrobial Screening of Shoot Extracts of Viola odorata linn. from Shikari Devi Wildlife Sanctuary, Himachal Pradesh, India","The traditional healers made significant use of the Viola odorata Linn. of the Violaceae family for its many ethnopharmacological uses. The phytochemical composition and in vitro antioxidant activity of solvent extracts from Viola odorata Linn. shoots were studied, and the antibacterial potential of the optimized extract was also examined. The Soxhlet apparatus was used to extract phytochemicals from shoots in four different solvents, including n -hexane, butanol, methanol, and water. High performance liquid chromatography (HPLC) was used to analyse the stigmasterol profile of V. odorata shoots. The extracts were found to contain alkaloids, flavonoids, terpenoids, saponins, and phenolics, all of which were found in significant amounts in the methanolic extract. The methanolic extract also shown the highest radical scavenging activity (79.23 +/- 0.44 %). TLC and HPLC profiling of methanolic extract revealed the considerable amount of stigmasterol in the shoots of Viola odorata Linn. HPLC analysis of methanolic shoot extract of plant revealed the presence of 0.009 mu g mL-1 stigmasterol. Optimized Methanolic extract showed respectable in -vitro antimicrobial activity against Bacillus subtilis (2.6 +/- 0.41 mm zone of inhibition), E. coli (3.4 +/- 0.71 mm zone of inhibition) and Candida albicans (3.5 +/- 0.48 mm zone of inhibition). The outcomes demonstrated that the methanolic shoot extract of Viola odorata Linn. from Shikari Devi Wildlife Sanctuary, Himachal Pradesh, India, is a valuable herb for further screening and might be prepared for in -vivo animal studies.",INTERNATIONAL JOURNAL OF AYURVEDIC MEDICINE,AYURVEDA SAHITI PRABHA,Chromatography; Stigmasterol; Flavonoids; Extraction; Phytochemicals; Screening,L.; PRODUCTS,"[Dhiman, Sunny] Abhilashi Univ, Sch Pharm, Dept Pharmacol, Pharmaceut Sci, Mandi, HP, India; [Dahiya, Dev Prakash] Abhilashi Univ, Sch Pharm, Dept Pharmaceut Chem, Mandi, HP, India; [Sharma, Saurabh] CGC Landran, Chandigarh Coll Pharm, Dept Pharmacol, Greater Mohali 140307, Punjab, India; [Dhiman, Sunny] Abhilashi Univ, Sch Pharm, Dept Pharmacol, Pharmaceut Sci, Mandi 175028, HP, India",Viola odorata,,Violaceae,,"phenolics, terpenoids, alkaloids, flavonoids, saponins, noise","phenolics, terpenoids, alkaloids, flavonoids, saponins, noise",Bacillus subtilis,positive,Candida albicans,Viola odorata,Violaceae,Viola,India
10.3923/ijp.2011.527.531,"Rahman, MA; Haque, E; Hasanuzzaman, M; Shahid, IZ",2011,"Antinociceptive, Antiinflammatory and Antibacterial Properties of Tamarix indica Roots","The present study investigated pharmacological activities to provide scientific basis to traditional usage of Tamarix indica. Phytochemical analysis of the dried roots of Tamarix indica (Tamaricaceae) indicated the presence of alkaloids, glycosides, flavonoids, saponins and tannins. The pharmacological interest of these compounds, coupled with the use of this plant in traditional medicine prompted the researchers to check for its possible antinociceptive, anti-inflammatory and antibacterial activities in animal models. The antinociceptive activity was studied using acetic acid-induced writhing in mice while anti-inflammatory tests were studied by using carrageenin induced rat paw edema model. Moreover, antibacterial activities were studied by using the disc diffusion method. The extract produced significant writhing inhibition in acetic acid-induced writhing in mice at the oral dose of 500 mg kg(-1) body weight (p<0.001) comparable to the standard drug diclofenac sodium at the dose of 25 mg kg(-1) of body weight. When given orally to rats at dose of 200 and 400 mg kg(-1), the extract showed a significant (p<0.001) anti-inflammatory activity against carrageenin induced paw edema in rats comparable to the standard drug aspirin. Moreover, The extract of Tamarix indica exhibited significant in vitro antibacterial activity against Staphylococcus saprophyticus, Shigella sonnie, Salmonella typhi, Vibrio cholera, Streptococcus epidermidis, Shigella flexneri and Staphylococcus aureus with the zones of inhibition ranging from 10.76 to 16.34 mm. The obtained results provide a support for the use of this plant in traditional medicine and its further investigation.",INTERNATIONAL JOURNAL OF PHARMACOLOGY,ASIAN NETWORK SCIENTIFIC INFORMATION-ANSINET,Phytochemical; Tamarix indica; antinociceptive; anti-inflammatory; antibacterial,MEDICINAL-PLANTS; ANTIOXIDANT; RATS; INHIBITION; EDEMA,"[Rahman, M. A.; Haque, E.; Hasanuzzaman, M.; Shahid, I. Z.] Khulna Univ, Pharm Discipline, Khulna 9208, Bangladesh",Tamarix indica,,Tamaricaceae,,"noise, tannins, alkaloids, flavonoids, saponins","noise, tannins, alkaloids, flavonoids, saponins","Staphylococcus aureus, Shigella flexneri, Staphylococcus saprophyticus","positive, negative, positive",,Tamarix indica,Tamaricaceae,Tamarix,Bangladesh
10.3390/cosmetics10030085,"Makhamrueang, N; Raiwa, A; Jiaranaikulwanitch, J; Kaewarsar, E; Butrungrod, W; Sirilun, S",2023,Beneficial Bio-Extract of Camellia sinensis var. assamica Fermented with a Combination of Probiotics as a Potential Ingredient for Skin Care,"Biotechnology, cosmetics, and aesthetic remedies are now inextricably intertwined due to the production of alternative, more effective, and safer active ingredients. Additionally, there has been an increase in demand for natural cosmetic ingredients across the globe. Camellia sinensis var. assamica (Miang tea) is a good alternative because of several biological activities, and is commercially cultivated as a resource in northern Thailand. The process of fermentation mediated by probiotics can enhance the bioavailability of compounds, transform bioactive compounds, and decrease chemical solvent use for sustainability. This study aims to apply the functional evaluation of Miang tea bio-extracts to promote skin health. On the basis of their bioactive enzymes, & beta;-glucosidase, and antioxidant properties, the strains Lacticaseibacillus rhamnosus (previously Lactobacillus rhamnosus), Lactiplantibacillus plantarum (previously Lactobacillus plantarum), and Saccharomyces cerevisiae were used as mixed probiotic starter cultures. The activities of white, green, and black Miang tea bio-extracts, including ferric reducing antioxidant power, lipid peroxidation, nitric oxide inhibition, tyrosinase inhibition, collagenase inhibition (MMP-1 and MMP-2), and antimicrobial activity, were all considerable after 7 days of fermentation time. Additionally, phenolic antioxidant compounds (gallic acid, epigallocatechin gallate, caffeic acid, caffeine, and p-coumaric acid) were identified. The current study's findings can determine the most effective fermentation time and dose of bio-extract, as well as suggest improvements in bioactive compounds for use in skin care formulations. These results will be used for testing on human participants in further work.",COSMETICS,MDPI,probiotics; bio-extract; Camellia sinensis; antioxidant; fermentation; cosmetics,GREEN TEA; BETA-GLUCOSIDASE; LACTOBACILLUS-ACIDOPHILUS; ACID; ANTIOXIDANT; COLLAGENASE; INHIBITION; LEAVES,"[Makhamrueang, Netnapa; Raiwa, Araya; Jiaranaikulwanitch, Jutamas; Kaewarsar, Ekkachai; Butrungrod, Widawal; Sirilun, Sasithorn] Chiang Mai Univ, Fac Pharm, Dept Pharmaceut Sci, Chiang Mai 50200, Thailand; [Jiaranaikulwanitch, Jutamas] Chiang Mai Univ, Ctr Excellence Innovat Analyt Sci & Technol Biodiv, Chiang Mai 50200, Thailand; [Sirilun, Sasithorn] Chiang Mai Univ, Fac Pharm, Innovat Ctr Holist Hlth Nutraceut & Cosmeceu, Chiang Mai 50200, Thailand",Camellia sinensis,,Theaceae,,"phenolics, isolated compounds, coumarins","phenolics, isolated compounds, coumarins","Lactiplantibacillus plantarum, Lacticaseibacillus rhamnosus","positive, positive",Saccharomyces cerevisiae,Camellia sinensis,Theaceae,Camellia,Thailand
10.18016/ksutarimdoga.vi.1402758,"Abdalrahman, MR; Göçeri, A; Sofi, SA; Alma, MH; Kireçci, E; Yilmaz, MA",2024,Investigation of Chemical Composition and Biological Activity of Salix aegyptiaca L. Roots,"The root of Salix aegyptiaca L. was extracted using their yield percentage, total condensed tannin concentration, antimicrobial, antioxidant activity and to determine chemical composition by LC-MS/MS. The root extraction was carried out together with water, ethanol and methanol. Accelerated solvent extraction (ASE), conventional extraction (CE), and microwave extraction (ME) were the extraction methods applied during the investigation. The LC-MS/MS methanol extract was used to detect phenolics. The antioxidant activities and total condensed tannin concentrations of root extracts have been done by UV-visible spectroscopy from 517 to 580 nm, severally. The disk diffusion method was used for antimicrobial activity. The maximum extraction yield (17.2%) was obtained in methanol by the ASE technique whereas, the conventional extraction technique obtained the minimum extraction efficiency (9.1%). By triplicate measurement, the total condensed tannin analysis result was found 35.14 mg/L. Using the ASE technique, the methanol extract was the maximum inhibitory zone (26 mm) against Candida albicans ATCC 10231. However, in water extract by conventional extraction, a minimum inhibitory zone (11 mm) was obtained against Staphylococcus aureus Cowan 1. The highest and lowest DPPH scavenging activity was determined in methanol (ASE) (98.8%) and ethanol (97.5%) extract respectively. The maximum amounts of quinic acid (63895 mu g/g) were discovered using LC-MS/MS.",KSU TARIM VE DOGA DERGISI-KSU JOURNAL OF AGRICULTURE AND NATURE,KAHRAMANMARAS SUTCU IMAM UNIV REKTORLUGU,Antioxidants; Antimicrobial; Chemical composition; Condensed tannin; Salix aegyptiaca,ANTIOXIDANT ACTIVITY; ANTIBACTERIAL ACTIVITY; ANTIMICROBIAL ACTIVITY; PHENOLIC-COMPOUNDS; EXTRACTS; LEAVES; BARK; CONSTITUENTS; POLYPHENOLS; CAPACITY,"[Abdalrahman, Maaroof Rasul] Erbil Polytech Univ, Koya Tech Inst, Dept Nursing, Taqtaq, Iraq; [Goceri, Ali] Univ Sirnak, Idil Vocat Sch Higher Educ, Dept Vet Med, Sirnak, Turkey; [Sofi, Shno Abdalqadir] Erbil Polytech Univ, Koya Tech Inst, Dept Med Lab Tech, Erbil, Iraq; [Alma, M. Hakki] Univ Igdir, Fac Engn, Dept Environm, TR-76000 Igdir, Turkey; [Kirecci, Ekrem] Kahramanmaras Sutcu Imam Univ, Dept Med Microbiol, Fac Med, Kahramanmaras, Turkey; [Yilmaz, M. Abdullah] Dicle Univ, Fac Pharm, Dept Pharmaceut Chem, TR-21280 Diyarbakir, Turkey",Salix aegyptiaca,,Salicaceae,,"phenolics, tannins","phenolics, tannins",Staphylococcus aureus,positive,Candida albicans,Salix aegyptiaca,Salicaceae,Salix,Iraq
10.1002/cbdv.202000268,"Wu, YX; Lu, WW; Geng, YC; Yu, CH; Sun, HJ; Kim, YJ; Zhang, G; Kim, T",2020,"Antioxidant, Antimicrobial and Anti-Inflammatory Activities of Essential Oil Derived from the Wild Rhizome ofAtractylodes macrocephala","The present study investigated the chemical composition, antioxidant, antimicrobial, and anti-inflammatory activities of essential oil (EO) derived from the wild rhizomes ofAtractylodes macrocephalaKoidz. (AMA) growing in Qimen County (eastern China). GC/MS analysis identified fifteen compounds, representing 92.55 % of AMA EO. The major compounds were atractylone (39.22 %),beta-eudesmol (27.70 %), thymol (5.74 %), hinesol (5.50 %), and 11-isopropylidenetricyclo[4.3.1.1(2,5)]undec-3-en-10-one (4.71 %). Ferricyanide reducing, 1,1-diphenyl-2-picyrlhydrazyl (DPPH) and 3-ethyl-benzothiazoline-6-sulfonic acid (ABTS) scavenging assays revealed that AMA EO exhibited strong antioxidant capacities. Additionally, AMA EO showed inhibitory effects on growth ofEscherichia coli,Pseudomonas aeruginosa,Salmonella enterica,Staphylococcus aureus, andBacillus subtilis, with the minimum inhibitory concentrations (MIC) ranging from 0.5 to 2.0 mg/mL. Treatments with AMA EO also significantly inhibited nitric oxide (NO) and prostaglandin E-2(PGE(2)) production in lipopolysaccharide-stimulated RAW264.7 cells, indicating anti-inflammatory activity of AMA EO. Furthermore, treatments with AMA EO decreased the transcriptional levels of inducible nitric oxide synthase (iNOS) and cyclooxygenase-2 (COX-2), which might be the molecular mechanisms underlying its anti-inflammatory effects. Overall, these results provide a theoretical basis for further study and application of AMA EO in food and medicine products.",CHEMISTRY & BIODIVERSITY,WILEY-V C H VERLAG GMBH,Atractylodes macrocephala; essential oil; antioxidant activity; antimicrobial activity; anti-inflammatory activity,SMYRNIUM-OLUSATRUM L.; ATRACTYLODES-MACROCEPHALA; CHEMICAL-COMPOSITION; NO PRODUCTION; INFLAMMATION; MACROPHAGES; CONSTITUENT; INHIBITION,"[Wu, Yong-Xiang; Lu, Wei-Wei; Geng, Yu-Chuang; Yu, Chang-Hao] Huangshan Univ, Coll Life & Environm Sci, Huangshan 245041, Peoples R China; [Sun, Han-Ju] Hefei Univ Technol, Sch Food Sci & Engn, Hefei 230009, Peoples R China; [Kim, You-Jeong; Kim, Taewan] Andong Natl Univ, Dept Food Sci & Biotechnol, Andong 760749, South Korea; [Zhang, Gen] Shenzhen GenProMetab Biotechnol Co Ltd, Shenzhen 518101, Peoples R China",##Atractylodes macrocephala,Atractylodes macrocephala,,Asteraceae,noise,noise,"Staphylococcus aureus, Salmonella enterica, Bacillus subtilis, Escherichia coli, Pseudomonas aeruginosa","positive, negative, positive, negative, negative",,Atractylodes macrocephala,Asteraceae,Atractylodes,China
,"Satyal, P; Chhetri, BK; Dosoky, NS; Poudel, A; Setzer, WN",2015,Chemical Composition of Nardostachys grandiflora Rhizome Oil from Nepal - A Contribution to the Chemotaxonomy and Bioactivity of Nardostachys,"The essential oil from the dried rhizome of Nardostachys grandiflora, collected from Jaljale, Nepal, was obtained in 1.4% yield, and a total of 72 compounds were identified constituting 93.8% of the essential oil. The rhizome essential oil of N. grandiflora was mostly composed of calarene (9.4%), valerena-4,7(11)-diene (7.1%), nardol A (6.0%), 1(10)-aristolen-9 beta-ol (11.6%), jatamansone (7.9%), valeranal (5.6%), and cis-valerinic acid (5.7%). The chemical composition of N. grandiflora rhizome oil from Nepal is qualitatively very different than those from Indian, Chinese, and Pakistani Nardostachys essential oils. In this study we have evaluated the chemical composition and biological activities of N. grandiflora from Nepal. Additionally, 1(10)-mistolen-9 beta-ol was isolated and the structure determined by NMR, and represents the first report of this compound from N. grandiflora. N. grandiflora rhizome oil showed in-vitro antimicrobial activity against Bacillus cereus, Escherichia coli, and Candida albicans (MIC = 156 mu g/mL), as well as in-vitro cytotoxic activity on MCF-7 cells.",NATURAL PRODUCT COMMUNICATIONS,SAGE PUBLICATIONS INC,Essential oil composition; 1(10)-Aristolen-9 beta-ol; Antimicrobial; Cytotoxic,JATAMANSI; STEREOCHEMISTRY; PROTECTS; DAMAGE,"[Satyal, Prabodh; Chhetri, Bhuwan K.; Dosoky, Noura S.; Setzer, William N.] Univ Alabama, Dept Chem, Huntsville, AL 35899 United States of America; [Poudel, Ambika] Tribhuvan Univ, Dept Chem, Kathmandu, Nepal",Nardostachys grandiflora,,Caprifoliaceae,,"noise, noise","noise, noise","Escherichia coli, Bacillus cereus","negative, positive",Candida albicans,Nardostachys grandiflora,Caprifoliaceae,Nardostachys,United States
10.1016/j.fbio.2017.03.003,"Daza, LD; Fujita, A; Granato, D; Fávaro-Trindade, CS; Genovese, MI",2017,Functional properties of encapsulated Cagaita (Eugenia dysenterica DC.) fruit extract,"Cagaita (Eugenia dysenterica DC.) is an important native Brazilian fruit species with potential health effects associated with its concentration and profile of polyphenols. The aim of this work was to evaluate the total phenolic (TPC), total proanthocyanidins, the antioxidant, antimicrobial, and anti-obesity potential of cagaita extracted, dried and encapsulated powders. Samples were produced with gum arabic or inulin as the carrier using different spray-drying conditions. E. dysenterica powders had a content of total phenolics between 9.9 and 31.2 mg GAE/ g DW, which correlated with antioxidant capacity. Powders also showed inhibitory activity against Staphylococcus aureus and Listerya monocytogenes similar to vancomycin, erythromycin and ceftriaxone used as controls, and also showed inhibition of a-amylase and a-glucosidase. Preparation of dry extracts from cagaita using spray-drying is an alternative to prevent deterioration of the bioactive compounds present in the fruit, ensuring quality and availability of the fruit during the off-season.",FOOD BIOSCIENCE,ELSEVIER,Myrtaceae; Encapsulation; Gum arabic; Inulin; Spray-drying; Quercetin,ALPHA-AMYLASE; PHENOLIC-COMPOUNDS; ANTIOXIDANT CAPACITY; ANTIMICROBIAL ACTIVITY; BIOACTIVE COMPOUNDS; DRYING CONDITIONS; GLUCOSIDASE; MICROENCAPSULATION; MALTODEXTRIN; STORAGE,"[Daza, Luis Daniel; Fujita, Alice; Genovese, Maria Ines] Univ Sao Paulo, Lab Food Bioact Cpds, Dept Food & Expt Nutr, FCF, Ave Lineu Prestes, BR-05508900 Sao Paulo, SP, Brazil; [Granato, Daniel] Univ Estadual Ponta Grossa, Dept Food Engn, Ave Carlos Cavalcanti 4748, BR-84030900 Ponta Grossa, PR, Brazil; [Favaro-Trindade, Carmen Silvia] Univ Sao Paulo, Coll Anim Sci & Food Engn, Dept Food Engn, Ave Duque de Caxias Norte 225, BR-13635900 Pirassununga, SP, Brazil",Eugenia dysenterica,,Myrtaceae,,"phenolics, phenolics, phenolics, flavonoids","phenolics, phenolics, phenolics, flavonoids",Staphylococcus aureus,positive,,Eugenia dysenterica,Myrtaceae,Eugenia,Brazil
